challenger,observed_log_loss_difference_challenger_minus_champion,bootstrap_2_5_percent,bootstrap_median,bootstrap_97_5_percent,probability_challenger_is_worse,replicates
pca_1_component,-5.299957045545867e-05,-0.0005120220661498226,-4.522765390757577e-05,0.00039735589927283025,0.406,500
net_wins_plus_recent,6.117059217913834e-05,-0.003098351613662109,-3.376844143254676e-06,0.003136479149642654,0.498,500
champion_plus_srs_alpha_100_half_life_none,0.0003907585972821037,-0.0005227211897990497,0.0003648213693510649,0.0014075570144405378,0.758,500
cumulative_plus_recent,0.0008960332448576525,-0.002363304116572648,0.001078666874324119,0.004414448839278178,0.742,500
shrunk_ewma_half_life_12_prior_40,0.0010704996549975032,0.00017668025682077704,0.001070018810319262,0.001942740899202508,0.994,500
