training_through,training_games,term,standardized_coefficient,equal_strength_home_win_probability
2025-12-31,496,net_wins_diff,0.13624761150502293,0.5560041100793492
2025-12-31,496,cumulative_margin_diff,0.1857848098984485,0.5560041100793492
2025-12-31,496,recent_margin_evidence_diff,0.12425292295711961,0.5560041100793492
2026-01-31,729,net_wins_diff,0.1348441514254644,0.558078044537082
2026-01-31,729,cumulative_margin_diff,0.19803151029941488,0.558078044537082
2026-01-31,729,recent_margin_evidence_diff,0.12696330081819168,0.558078044537082
2026-02-28,895,net_wins_diff,0.1683428223142547,0.5422248339791584
2026-02-28,895,cumulative_margin_diff,0.22605172215839567,0.5422248339791584
2026-02-28,895,recent_margin_evidence_diff,0.1769145967897279,0.5422248339791584
2026-03-31,1134,net_wins_diff,0.2476008911658034,0.5551499013988546
2026-03-31,1134,cumulative_margin_diff,0.27589415836258474,0.5551499013988546
2026-03-31,1134,recent_margin_evidence_diff,0.23570324433688572,0.5551499013988546
