family,features,C,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,validation_minimum_probability,validation_maximum_probability,march_log_loss,march_brier_score,march_roc_auc,march_accuracy_0_5,march_mean_probability,march_actual_home_win_rate,march_minimum_probability,march_maximum_probability,half_life,shrinkage_prior,srs_alpha,srs_half_life_days,pca_components
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.01,0.6265561581898967,0.2171089355291156,0.7117650020136931,0.6541353383458647,0.5453384696845931,0.5213032581453634,0.11481328120949998,0.9395096375845003,0.5136605860413946,0.16951504863986266,0.8163011695906434,0.7405857740585774,0.5482843929391596,0.602510460251046,0.05372239938471885,0.9474172444187539,,,,,
champion_plus_srs_alpha_100_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_none,0.0075,0.6272778634199376,0.2172943541258891,0.7108840112766814,0.6616541353383458,0.5454936112617053,0.5213032581453634,0.10845597219200559,0.9401063938854001,0.5111069223931122,0.168425636152206,0.8230263157894737,0.7573221757322176,0.5435974648044457,0.602510460251046,0.0499407525297294,0.9441550302103116,,,100.0,,
champion_plus_srs_alpha_100_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_100_half_life_120,0.0075,0.627288149147528,0.2173374563044474,0.7106322996375353,0.6616541353383458,0.5452555927545718,0.5213032581453634,0.10910066994971071,0.9387430854804528,0.5117140687780714,0.16862278442214282,0.8220029239766081,0.7573221757322176,0.542460479737382,0.602510460251046,0.05260947295988721,0.9435001040353344,,,100.0,120.0,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.0075,0.627525131665216,0.21747838505069175,0.7109595247684252,0.6541353383458647,0.5471792898935592,0.5213032581453634,0.11044623646969076,0.9401766698733034,0.5101738927623358,0.16794785506593343,0.8230263157894737,0.7573221757322176,0.5451894381714445,0.602510460251046,0.051283254238387775,0.9463330998750581,,,300.0,,
three_signal_champion,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff,0.0075,0.6275285563144087,0.21748082407340277,0.7109846959323398,0.6541353383458647,0.5471947483912913,0.5213032581453634,0.11053771276170819,0.9401307854675001,0.5096452887112716,0.16761849059271816,0.8235380116959065,0.7573221757322176,0.5474258207319714,0.602510460251046,0.052901573375934326,0.9467962123199677,,,,,
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.0075,0.6275399877857017,0.21748560458991287,0.7109343536045106,0.6541353383458647,0.5472963215331094,0.5213032581453634,0.11059729472781851,0.9402217438522507,0.5102711676000972,0.16794488597209417,0.8230994152046783,0.7573221757322176,0.5452836141172511,0.602510460251046,0.05242624084920957,0.9460856564213665,,,300.0,120.0,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.0075,0.6277255916712688,0.21756726792430087,0.710909182440596,0.6541353383458647,0.5487299598774451,0.5213032581453634,0.11242605922939708,0.9406404497676613,0.5093141007949167,0.1674347258313113,0.8236111111111111,0.7573221757322176,0.5487647180004632,0.602510460251046,0.053432584723644476,0.9471067601766928,,,1000.0,,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.0075,0.6277426940060157,0.2175654012745305,0.7109343536045106,0.6541353383458647,0.5489672244294567,0.5213032581453634,0.11255379479479444,0.9411036913554967,0.5091715511148184,0.16737347935915517,0.8235380116959065,0.7573221757322176,0.5492534074539952,0.602510460251046,0.05324167330902223,0.9472976897145401,,,1000.0,120.0,
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.0075,0.6277440643059384,0.21760685235214175,0.7104309303262184,0.656641604010025,0.5471912754231935,0.5213032581453634,0.10599597673785362,0.9418398297965436,0.5091440275624389,0.16737884558421684,0.8240497076023392,0.7573221757322176,0.5473700967120008,0.602510460251046,0.05346070099078455,0.9483980110816762,,,,,1.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.0075,0.6278870752697857,0.21766758651686188,0.7106071284736206,0.6516290726817042,0.5474703808698729,0.5213032581453634,0.10884807051680219,0.9403603464399957,0.5091402197841297,0.16737945644341515,0.8240497076023392,0.7573221757322176,0.5473797923498379,0.602510460251046,0.0534476199371966,0.948437412097726,,,,,2.0
shrunk_ewma_half_life_12_prior_40,net_wins_diff + cumulative_margin_diff + shrunk_ewma_12_prior_40_diff,0.01,0.6283544281937937,0.21778385894628502,0.7101792186870721,0.6541353383458647,0.5476967924170563,0.5213032581453634,0.11952137156791982,0.9361939774184376,0.5111241836904088,0.16799160966932647,0.8232456140350877,0.7615062761506276,0.5476136526763463,0.602510460251046,0.05786200912919861,0.9402267375211958,12.0,40.0,,,
shrunk_ewma_half_life_16_prior_40,net_wins_diff + cumulative_margin_diff + shrunk_ewma_16_prior_40_diff,0.01,0.6285203314287889,0.21792276716001766,0.7097261377366089,0.6591478696741855,0.547747416197749,0.5213032581453634,0.12076992575869185,0.9347456188027709,0.5137067531177238,0.16908916752241496,0.8228801169590643,0.7656903765690377,0.5470384447763715,0.602510460251046,0.05779465416634436,0.9383562766849779,16.0,40.0,,,
shrunk_ewma_half_life_12_prior_20,net_wins_diff + cumulative_margin_diff + shrunk_ewma_12_prior_20_diff,0.01,0.6285256867701349,0.2179631224359089,0.7098268223922675,0.6541353383458647,0.548177644102164,0.5213032581453634,0.12911653857892016,0.9304430924287912,0.5127245866933373,0.16847425905328764,0.8233918128654971,0.7656903765690377,0.5474878465936994,0.602510460251046,0.062379049534957653,0.9354521948625613,12.0,20.0,,,
shrunk_ewma_half_life_8_prior_40,net_wins_diff + cumulative_margin_diff + shrunk_ewma_8_prior_40_diff,0.01,0.6285502024159946,0.21783155333686935,0.7108588401127667,0.6541353383458647,0.5476199401408074,0.5213032581453634,0.11361869150409533,0.9409412253862264,0.5084197763407876,0.1669074447979577,0.8243421052631579,0.7573221757322176,0.5482719054158872,0.602510460251046,0.05687632176514197,0.9433274347820769,8.0,40.0,,,
shrunk_ewma_half_life_16_prior_20,net_wins_diff + cumulative_margin_diff + shrunk_ewma_16_prior_20_diff,0.01,0.6286682411454146,0.21806188968919643,0.7093485702778896,0.6591478696741855,0.5481175872781253,0.5213032581453634,0.12861838016131122,0.930129408822588,0.5149868487563093,0.16946896824541155,0.8230994152046784,0.7615062761506276,0.5469164213951155,0.602510460251046,0.06147701185185383,0.9342423794879909,16.0,20.0,,,
shrunk_ewma_half_life_8_prior_20,net_wins_diff + cumulative_margin_diff + shrunk_ewma_8_prior_20_diff,0.01,0.6286975795017373,0.21803481556616894,0.7106574708014498,0.6541353383458647,0.5482520040625846,0.5213032581453634,0.12545507864769906,0.9338341493039732,0.5100204386083926,0.16737518705067603,0.824780701754386,0.7573221757322176,0.5482137629896124,0.602510460251046,0.061858761523308506,0.9385210972894078,8.0,20.0,,,
shrunk_ewma_half_life_12_prior_10,net_wins_diff + cumulative_margin_diff + shrunk_ewma_12_prior_10_diff,0.01,0.628709519995637,0.21812836901472082,0.7094492549335483,0.6541353383458647,0.5486273231115731,0.5213032581453634,0.1374922036484083,0.9253496606898625,0.5141444285439579,0.1689222519491749,0.8241959064327485,0.7656903765690377,0.5473604852655732,0.602510460251046,0.0659826922132399,0.9314311612680759,12.0,10.0,,,
shrunk_ewma_half_life_24_prior_40,net_wins_diff + cumulative_margin_diff + shrunk_ewma_24_prior_40_diff,0.01,0.6287884231018753,0.21813595621617674,0.7080144985904148,0.656641604010025,0.5478671653214848,0.5213032581453634,0.11938163269387572,0.9342980162932213,0.5170571744488957,0.17055891818793587,0.8201754385964911,0.7573221757322176,0.5463858918163649,0.602510460251046,0.05759356933605466,0.937395522183257,24.0,40.0,,,
shrunk_ewma_half_life_16_prior_10,net_wins_diff + cumulative_margin_diff + shrunk_ewma_16_prior_10_diff,0.01,0.6288064821391959,0.218183251873165,0.7091975432944018,0.656641604010025,0.5484673448389807,0.5213032581453634,0.13536550528151375,0.926121431191661,0.5160469347589787,0.1697949760857591,0.8230263157894737,0.7615062761506276,0.5468030630772811,0.602510460251046,0.06430020752040397,0.9309311044623823,16.0,10.0,,,
shrunk_ewma_half_life_12_prior_5,net_wins_diff + cumulative_margin_diff + shrunk_ewma_12_prior_5_diff,0.01,0.6288653125599936,0.2182519507024385,0.7094240837696334,0.6591478696741855,0.5490081426702247,0.5213032581453634,0.14348503962458578,0.9217138161179086,0.5151632750251185,0.16925769406825242,0.8242690058479532,0.7656903765690377,0.5472534902190954,0.602510460251046,0.06816344365577069,0.9286796841870832,12.0,5.0,,,
pure_ewma_half_life_8,net_wins_diff + cumulative_margin_diff + pure_ewma_8_diff,0.015,0.6288857849233731,0.21801518962794542,0.7105567861457913,0.656641604010025,0.5499131118081462,0.5213032581453634,0.13102348256120833,0.9322232465707577,0.5109272737645884,0.16776484104926834,0.8251461988304094,0.7656903765690377,0.5484997469209616,0.602510460251046,0.05912632499475982,0.9361570733205762,8.0,,,,
shrunk_ewma_half_life_24_prior_20,net_wins_diff + cumulative_margin_diff + shrunk_ewma_24_prior_20_diff,0.01,0.6288873357711149,0.2182198976217549,0.7082410390656464,0.6616541353383458,0.5481174716383447,0.5213032581453634,0.12555654715796244,0.9308545980155607,0.5176882181189428,0.17070898421779376,0.8206140350877192,0.7573221757322176,0.5463127705641678,0.602510460251046,0.060064821527211675,0.9344206726688086,24.0,20.0,,,
shrunk_ewma_half_life_8_prior_10,net_wins_diff + cumulative_margin_diff + shrunk_ewma_8_prior_10_diff,0.01,0.6288961030492489,0.2182341907490283,0.7104057591623036,0.6541353383458647,0.5488492961394569,0.5213032581453634,0.13628922434368948,0.9271743631066435,0.5115727707607983,0.16785039631756404,0.8252923976608186,0.7615062761506276,0.5481431011215352,0.602510460251046,0.06624617006661672,0.9341170115446769,8.0,10.0,,,
shrunk_ewma_half_life_8_prior_5,net_wins_diff + cumulative_margin_diff + shrunk_ewma_8_prior_5_diff,0.015,0.6289115955919503,0.21801043447070845,0.7105819573097059,0.6541353383458647,0.5487211048204718,0.5213032581453634,0.12450937566742125,0.9355869718973193,0.5094496667604806,0.16721346664049436,0.8251461988304094,0.7615062761506276,0.5487503110374428,0.602510460251046,0.05928988165095704,0.939301164284638,8.0,5.0,,,
