feature_family,team_prior,global_prior,C,features,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,march_log_loss,march_brier_score,march_roc_auc,march_accuracy_0_5,march_mean_probability,march_actual_home_win_rate
team_specific_venue_deviation,80.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6250190590922976,0.2164465799046129,0.7124697946033025,0.6666666666666666,0.5253633464945162,0.5213032581453634,,,,,,
global_home_trend,5.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6250331312187701,0.2165945519068807,0.7122180829641562,0.6516290726817042,0.5231443438818004,0.5213032581453634,,,,,,
global_home_trend,10.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6250331312187701,0.2165945519068807,0.7122180829641562,0.6516290726817042,0.5231443438818004,0.5213032581453634,,,,,,
global_home_trend,20.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6250331312187701,0.2165945519068807,0.7122180829641562,0.6516290726817042,0.5231443438818004,0.5213032581453634,,,,,,
global_home_trend,40.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6250331312187701,0.2165945519068807,0.7122180829641562,0.6516290726817042,0.5231443438818004,0.5213032581453634,,,,,,
global_home_trend,80.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6250331312187701,0.2165945519068807,0.7122180829641562,0.6516290726817042,0.5231443438818004,0.5213032581453634,,,,,,
global_and_team_specific,80.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6250522188708134,0.21697547479481927,0.712696335078534,0.6666666666666666,0.5195115419091716,0.5213032581453634,,,,,,
global_and_team_specific,5.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6250885888354787,0.2162639721434075,0.7136780104712042,0.6616541353383458,0.5192253425211771,0.5213032581453634,,,,,,
global_and_team_specific,80.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6251459681360234,0.2166671355478937,0.7114881192106324,0.6591478696741855,0.5316722044831651,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6252973123474158,0.21685088363312274,0.7119412001610955,0.6616541353383458,0.5336741736881898,0.5213032581453634,,,,,,
global_and_team_specific,40.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625312337669079,0.2168286593592741,0.7114629480467176,0.6591478696741855,0.5335132636375802,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6253171574414814,0.21665784685370534,0.7119412001610955,0.6591478696741855,0.5317991235323494,0.5213032581453634,,,,,,
global_and_team_specific,40.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625318306825837,0.21646648184365735,0.7133507853403142,0.6516290726817042,0.5120074781616283,0.5213032581453634,,,,,,
global_and_team_specific,10.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625326186427209,0.21668622410584926,0.7122432541280709,0.6541353383458647,0.5355592956314321,0.5213032581453634,,,,,,
global_and_team_specific,20.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6253493656849535,0.2167092017484798,0.7114377768828032,0.6616541353383458,0.5337586680177412,0.5213032581453634,,,,,,
global_and_team_specific,40.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6253635255866394,0.21663002015940083,0.7114377768828031,0.6616541353383458,0.5318505119793447,0.5213032581453634,,,,,,
global_and_team_specific,5.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6254144952776606,0.2166085604305325,0.712696335078534,0.6491228070175439,0.5367018174595228,0.5213032581453634,,,,,,
global_and_team_specific,80.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625434107746175,0.2165382926697962,0.7115132903745469,0.6641604010025063,0.5300124983973606,0.5213032581453634,,,,,,
global_home_trend,5.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6254403486162292,0.21651179425855746,0.7123942811115587,0.6616541353383458,0.519396235519917,0.5213032581453634,,,,,,
global_home_trend,10.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6254403486162292,0.21651179425855746,0.7123942811115587,0.6616541353383458,0.519396235519917,0.5213032581453634,,,,,,
global_home_trend,20.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6254403486162292,0.21651179425855746,0.7123942811115587,0.6616541353383458,0.519396235519917,0.5213032581453634,,,,,,
global_home_trend,40.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6254403486162292,0.21651179425855746,0.7123942811115587,0.6616541353383458,0.519396235519917,0.5213032581453634,,,,,,
global_home_trend,80.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6254403486162292,0.21651179425855746,0.7123942811115587,0.6616541353383458,0.519396235519917,0.5213032581453634,,,,,,
global_and_team_specific,5.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6254789582503998,0.2168846254978558,0.7125453080950463,0.6541353383458647,0.5384055752859181,0.5213032581453634,,,,,,
global_and_team_specific,20.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6254944497411321,0.2169742801217706,0.7113370922271447,0.6616541353383458,0.5353965006647762,0.5213032581453634,,,,,,
global_and_team_specific,40.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6254961463555865,0.21719882291673934,0.7125201369311318,0.6616541353383458,0.5227668021075369,0.5213032581453634,,,,,,
global_and_team_specific,10.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6254992456721777,0.2163875862790681,0.7134262988320579,0.6541353383458647,0.5155706367821026,0.5213032581453634,,,,,,
global_and_team_specific,10.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6255203926019056,0.2169827827912773,0.7120167136528393,0.656641604010025,0.5371900503588876,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6255883675557384,0.2168448778574126,0.7113370922271447,0.6641604010025063,0.5367915161602489,0.5213032581453634,,,,,,
global_and_team_specific,20.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625591603411234,0.21647675183461013,0.7128221908981072,0.6466165413533834,0.5128897255495055,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6256086041107866,0.21717866588885426,0.7123439387837294,0.6616541353383458,0.5312230797003948,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6256889460747703,0.2168846063849557,0.7114881192106324,0.6616541353383458,0.5370736840965087,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6258425032945091,0.21714250860830184,0.7112112364075714,0.6641604010025063,0.5385141015877533,0.5213032581453634,,,,,,
global_and_team_specific,10.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6258535390867651,0.2165746663445623,0.712167740636327,0.6516290726817042,0.5334630702273274,0.5213032581453634,,,,,,
global_and_team_specific,20.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6258558129142151,0.21661111818502024,0.7120167136528393,0.6541353383458647,0.5316760941654347,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6258605403916688,0.21670850600554772,0.7116139750302054,0.656641604010025,0.5351615895518452,0.5213032581453634,,,,,,
global_and_team_specific,80.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.625863379164485,0.21657450220997884,0.7135018123238019,0.6466165413533834,0.5090834295328764,0.5213032581453634,,,,,,
global_and_team_specific,20.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6259553140900269,0.21742839127615513,0.712494965767217,0.656641604010025,0.5256449782861,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6259626333805522,0.21663650463510517,0.7124697946033024,0.6616541353383458,0.5292810657214779,0.5213032581453634,,,,,,
global_and_team_specific,5.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6259853649576507,0.21640171748930756,0.7142569472412406,0.6591478696741855,0.5169027936242288,0.5213032581453634,,,,,,
global_and_team_specific,5.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6259880282997815,0.21740824137229164,0.7127718485702779,0.6516290726817042,0.5302086668297223,0.5213032581453634,,,,,,
