bin,n,mean_probability,actual_home_win_rate,minimum_probability,maximum_probability
"(0.0519, 0.314]",48,0.19559570184334615,0.08333333333333333,0.052901573375934326,0.3116365716463438
"(0.314, 0.496]",48,0.40829324693849095,0.5208333333333334,0.3160373587585511,0.4957033478876031
"(0.496, 0.659]",47,0.5728580178139763,0.7446808510638298,0.49776673966608903,0.6550277171919558
"(0.659, 0.761]",48,0.7118520261453053,0.7708333333333334,0.659568151268668,0.7595417203046514
"(0.761, 0.947]",48,0.849059948357947,0.8958333333333334,0.7644287321511049,0.9467962123199677
