component,weight,half_life,C,validation_log_loss,march_log_loss,equal_strength_home_win_probability,net_wins_coefficient_per_sd,cumulative_margin_coefficient_per_sd,recent_margin_coefficient_per_sd
1,0.025,5.0,0.003,0.633288162274145,0.5245889899488639,0.5531638987180715,0.20086334350010393,0.2144038168570235,0.17473356436384452
2,0.025,5.0,0.005,0.6294155274923979,0.5124614152518727,0.5541771495869071,0.23633261470915828,0.25720581069158094,0.20374039718473297
3,0.025,5.0,0.0075,0.6291842487707971,0.5065625769541563,0.5549960509439381,0.26010268260845276,0.28885827054667235,0.2225433996052559
4,0.025,5.0,0.01,0.6301244158238435,0.5039456523368641,0.5554861334183582,0.27300754021993556,0.31090780567501447,0.23290163682877565
5,0.025,5.0,0.015,0.6323696582115225,0.5017255726559094,0.5561507313259486,0.2862845396458779,0.3396957638635615,0.24360080567326947
6,0.025,5.0,0.02,0.634164037905709,0.5008884365722112,0.5565850786838963,0.2915456164920432,0.35939175120445355,0.24849871581183994
7,0.025,5.0,0.03,0.6366433725473493,0.5004020658664416,0.5568613761983215,0.2923643954567149,0.38748367469900297,0.252341298059949
8,0.025,5.0,0.05,0.6392458150905453,0.5005911319157085,0.5573540530823095,0.2845751331423203,0.4235891316277871,0.2528137827607427
9,0.025,8.0,0.003,0.6326641487604918,0.5246231515422382,0.5532885329779224,0.19615676965351522,0.20909273895791589,0.18283419776334622
10,0.025,8.0,0.005,0.6284326378847949,0.5129397052601702,0.5542879940161816,0.22976447441587908,0.24941753369067915,0.21391368551477832
11,0.025,8.0,0.0075,0.6278742170622688,0.507318041538791,0.5550912788907653,0.25193131433879845,0.27867867371789445,0.2349372718898643
12,0.025,8.0,0.01,0.6285774805633558,0.5048619608565066,0.5555640793907324,0.26391446941692204,0.29896633708313836,0.24674507483031044
13,0.025,8.0,0.015,0.6304964157830626,0.5028154133023374,0.5561993889247437,0.2759868290252531,0.32528817660630593,0.2600816022977092
14,0.025,8.0,0.02,0.6320967857475818,0.5020672279782624,0.5565477362142445,0.28077667991012384,0.3429935683023381,0.26649272912432487
15,0.025,8.0,0.03,0.6343578224826889,0.5016628563860973,0.5569847550978976,0.28234860080015317,0.3679340759527629,0.27182663294734394
16,0.025,8.0,0.05,0.6368427868076972,0.5018853744660564,0.5573307114126644,0.27605378948492976,0.40032145186382784,0.27344247225093116
17,0.025,12.0,0.003,0.6330184811689024,0.5269017352529524,0.5533801760089344,0.19359450090369712,0.2070240657435574,0.1844999679096999
18,0.025,12.0,0.005,0.6283730051996717,0.5152786178322025,0.5543732241993558,0.22617642233356314,0.24676736979778885,0.21523877977987635
19,0.025,12.0,0.0075,0.6275285563144087,0.5096452887112716,0.5551499013988546,0.2476008911658034,0.27589415836258474,0.23570324433688572
20,0.025,12.0,0.01,0.6280778528897415,0.507166607001353,0.5556276063500046,0.25883125373949256,0.2960849297691095,0.24694258341040823
21,0.025,12.0,0.015,0.6298551781962786,0.505086331110105,0.5562520013066842,0.2701225408080143,0.3228393397610759,0.2591620503176798
22,0.025,12.0,0.02,0.6314420896950493,0.5043212246876337,0.5565929163516975,0.2743349223882125,0.3411797747539264,0.26449957224288123
23,0.025,12.0,0.03,0.6336872773115013,0.5039067225392263,0.5570298328325427,0.27511010069095615,0.3676631755658706,0.26792721709959977
24,0.025,12.0,0.05,0.6362734533685748,0.5041282729329638,0.5573667890088474,0.2677950569440513,0.4030962952519134,0.26641441194832355
25,0.025,16.0,0.003,0.63386833910305,0.5303888839136967,0.5534086481393194,0.19459867631141153,0.20923457274109616,0.17806082291141226
26,0.025,16.0,0.005,0.6288416604199263,0.5185735259395284,0.5543977973335118,0.2278551923586356,0.2508286989686307,0.20516108105801528
27,0.025,16.0,0.0075,0.6277351063965492,0.5127509921632273,0.5551645124805066,0.2498643986623684,0.28262892590997896,0.2212950802418598
28,0.025,16.0,0.01,0.6281535043271781,0.5101019494474711,0.5556428328732124,0.26190032866494123,0.3048264508609326,0.2290376034404612
29,0.025,16.0,0.015,0.6298204528634368,0.5078682207033136,0.556234923401661,0.27404425940233756,0.33561318517100913,0.2347337423444429
30,0.025,16.0,0.02,0.6313783438343461,0.5069904603419825,0.5565792657635934,0.27870516248652666,0.35779450572329774,0.23512084759028948
31,0.025,16.0,0.03,0.6336276745545917,0.506443261068248,0.5570608061723498,0.27935712562833703,0.3913549916781715,0.23147483355330054
32,0.025,16.0,0.05,0.6362504370052912,0.5065360734855799,0.557357337650688,0.2704502656654934,0.43672161597826176,0.22050440661348802
33,0.025,24.0,0.003,0.6353001707699758,0.5371207186418181,0.5533574826375104,0.20245073000957087,0.2197110478022952,0.15233848483757523
34,0.025,24.0,0.005,0.6297411811519261,0.5246069158789886,0.554326167396537,0.2396996100229259,0.267723580817912,0.1682016820936501
35,0.025,24.0,0.0075,0.6282454884056864,0.5181737100264551,0.5550764360605276,0.2652757074098736,0.3062982543815575,0.17314362160951746
36,0.025,24.0,0.01,0.6284600400576419,0.515092952973577,0.5555911127398323,0.2807330492588579,0.33333450999154457,0.17203110521497458
37,0.025,24.0,0.015,0.6299336857914859,0.5122877481205904,0.5562104850471483,0.29499354775663356,0.37431133279745155,0.16515955553045034
38,0.025,24.0,0.02,0.6314197114169045,0.5110557945351232,0.5564338876104012,0.30066159579740454,0.403697867386807,0.15684893096269162
39,0.025,24.0,0.03,0.6336325350720218,0.5100741251719269,0.5569359395303319,0.30226972006288333,0.4461716699421026,0.14220325392449867
40,0.025,24.0,0.05,0.6362443304418961,0.5097478356691626,0.5573938158694686,0.28890243979404345,0.5049441562439613,0.12196551496815868
