game_id,game_date,away,home,official_home_win_probability,model_uncertainty_2_5_percent,model_uncertainty_5_percent,bootstrap_median,model_uncertainty_95_percent,model_uncertainty_97_5_percent,interval_width_90_percent,bootstrap_replicates
0022501131,2026-04-04,DET,PHI,0.245152,0.200552,0.211322,0.244588,0.279421,0.284238,0.068098,250
0022501132,2026-04-05,TOR,BOS,0.702559,0.669453,0.677006,0.703097,0.729594,0.734907,0.052588,250
0022501133,2026-04-05,WAS,BKN,0.589406,0.562610,0.565958,0.589665,0.610904,0.614838,0.044945,250
0022501134,2026-04-05,PHX,CHI,0.281005,0.236690,0.247630,0.279641,0.314430,0.318237,0.066800,250
0022501135,2026-04-05,MEM,MIL,0.552471,0.522938,0.528185,0.552323,0.575297,0.580180,0.047112,250
0022501136,2026-04-05,IND,CLE,0.908901,0.874980,0.878782,0.907967,0.930213,0.934760,0.051431,250
0022501137,2026-04-05,CHA,MIN,0.493576,0.458143,0.462216,0.493464,0.524779,0.531891,0.062563,250
0022501138,2026-04-05,ORL,NOP,0.377569,0.330535,0.343337,0.377393,0.413505,0.416986,0.070168,250
0022501139,2026-04-05,UTA,OKC,0.960595,0.936880,0.940007,0.959993,0.973359,0.976170,0.033352,250
0022501140,2026-04-05,LAL,DAL,0.159603,0.121458,0.125297,0.160303,0.195289,0.200515,0.069992,250
0022501141,2026-04-05,LAC,SAC,0.153729,0.115288,0.122217,0.154231,0.188838,0.193646,0.066620,250
0022501142,2026-04-05,HOU,GSW,0.350171,0.308585,0.318742,0.348302,0.379342,0.385773,0.060600,250
0022501143,2026-04-06,NYK,ATL,0.470633,0.436668,0.444518,0.469568,0.498173,0.503307,0.053656,250
0022501144,2026-04-06,DET,ORL,0.249214,0.204897,0.214917,0.248559,0.283714,0.287867,0.068797,250
0022501145,2026-04-06,CLE,MEM,0.188957,0.148371,0.154575,0.189154,0.224152,0.230897,0.069578,250
0022501146,2026-04-06,PHI,SAS,0.862988,0.829457,0.833668,0.861825,0.887714,0.895552,0.054046,250
0022501147,2026-04-06,POR,DEN,0.697477,0.660857,0.669524,0.697579,0.726083,0.728554,0.056560,250
0022501148,2026-04-07,CHI,WAS,0.316780,0.275159,0.284703,0.315761,0.349524,0.355357,0.064822,250
0022501149,2026-04-07,CHA,BOS,0.609367,0.572529,0.578165,0.608807,0.639499,0.644683,0.061334,250
0022501150,2026-04-07,MIL,BKN,0.394371,0.352548,0.361755,0.393365,0.424641,0.429604,0.062887,250
0022501151,2026-04-07,MIA,TOR,0.598003,0.571497,0.574089,0.597895,0.619739,0.626938,0.045650,250
0022501152,2026-04-07,MIN,IND,0.146346,0.108315,0.112901,0.147621,0.184001,0.189412,0.071101,250
0022501153,2026-04-07,UTA,NOP,0.695168,0.666933,0.670428,0.694792,0.720981,0.727728,0.050552,250
0022501154,2026-04-07,SAC,GSW,0.836238,0.797699,0.804126,0.835848,0.863731,0.869689,0.059605,250
0022501155,2026-04-07,OKC,LAL,0.328192,0.288059,0.295411,0.328194,0.363877,0.368454,0.068465,250
0022501156,2026-04-07,DAL,LAC,0.846456,0.812038,0.816599,0.845118,0.872283,0.881288,0.055685,250
0022501157,2026-04-07,HOU,PHX,0.482303,0.450425,0.458851,0.481678,0.507226,0.511953,0.048375,250
0022501158,2026-04-08,ATL,CLE,0.586552,0.555478,0.562126,0.586261,0.610043,0.612943,0.047917,250
0022501159,2026-04-08,MIN,ORL,0.412047,0.373633,0.382790,0.410804,0.438419,0.443688,0.055628,250
0022501160,2026-04-08,MIL,DET,0.928522,0.899915,0.903767,0.927642,0.947076,0.951152,0.043309,250
0022501161,2026-04-08,POR,SAS,0.838856,0.800714,0.807000,0.838241,0.865866,0.872111,0.058867,250
