family,month,training_games,evaluation_games,log_loss,brier_score,roc_auc,accuracy_0_5,mean_probability,actual_home_win_rate,minimum_probability,maximum_probability
three_signal_champion,2025-12,299,197,0.6916753993492059,0.24736514281670352,0.6274327122153209,0.5989847715736041,0.5381973108168283,0.5329949238578681,0.11447143563143787,0.9432593782049653
three_signal_champion,2026-01,496,233,0.652248079795149,0.2294128177409705,0.6596713965646004,0.6180257510729614,0.5458697719363327,0.5579399141630901,0.19938070578393427,0.9260650282322064
three_signal_champion,2026-02,729,166,0.6026511901452191,0.20587311608667744,0.7787004662004662,0.7048192771084337,0.5537943388167806,0.46987951807228917,0.16532877727480386,0.9056651654088644
three_signal_champion,2026-03,895,239,0.5096452887112716,0.16761849059271816,0.8235380116959065,0.7573221757322176,0.5474258207319714,0.602510460251046,0.052901573375934326,0.9467962123199677
cumulative_plus_recent,2025-12,299,197,0.6829227489449501,0.2437623162296913,0.6315734989648033,0.6040609137055838,0.5392605547692705,0.5329949238578681,0.12050437577444935,0.9316932462194795
cumulative_plus_recent,2026-01,496,233,0.6504988151783416,0.22864642400444643,0.662957430918596,0.6266094420600858,0.544693855130846,0.5579399141630901,0.18795383421123668,0.9224053960348397
cumulative_plus_recent,2026-02,729,166,0.6022985374879616,0.20575866948465985,0.7787004662004662,0.7048192771084337,0.5518055818644352,0.46987951807228917,0.16958213038976622,0.9054741326539938
cumulative_plus_recent,2026-03,895,239,0.5136605860413946,0.16951504863986266,0.8163011695906434,0.7405857740585774,0.5482843929391596,0.602510460251046,0.05372239938471885,0.9474172444187539
net_wins_plus_recent,2025-12,299,197,0.6960953043663887,0.24877443575492306,0.6236024844720497,0.5939086294416244,0.5381841970781913,0.5329949238578681,0.10330178196386287,0.9497459046021265
net_wins_plus_recent,2026-01,496,233,0.6571832407060472,0.2316138362142937,0.6522778192681106,0.6008583690987125,0.5459116534137336,0.5579399141630901,0.17784509706057045,0.9267209805431822
net_wins_plus_recent,2026-02,729,166,0.6012891507608941,0.2054418027805754,0.7798659673659675,0.7108433734939759,0.5544819862589554,0.46987951807228917,0.13529118649716892,0.9189560223961234
net_wins_plus_recent,2026-03,895,239,0.5058347831437197,0.16606256539370903,0.8246345029239767,0.7615062761506276,0.5476213242384175,0.602510460251046,0.05230128969255444,0.9615623577876821
champion_plus_srs_alpha_100_half_life_none,2025-12,299,197,0.694188092310396,0.2482270150471869,0.6277432712215321,0.5989847715736041,0.5362823868374058,0.5329949238578681,0.10854703075168395,0.9454920061727933
champion_plus_srs_alpha_100_half_life_none,2026-01,496,233,0.652592931855085,0.22948221165285448,0.6600448095593727,0.630901287553648,0.5447281996490406,0.5579399141630901,0.19035501692688855,0.9296645405454105
champion_plus_srs_alpha_100_half_life_none,2026-02,729,166,0.6010798719677051,0.20509549986793893,0.7788461538461539,0.7048192771084337,0.5510185758610031,0.46987951807228917,0.16381393308274242,0.9044709408749513
champion_plus_srs_alpha_100_half_life_none,2026-03,895,239,0.5111069223931122,0.168425636152206,0.8230263157894737,0.7573221757322176,0.5435974648044457,0.602510460251046,0.0499407525297294,0.9441550302103116
shrunk_ewma_half_life_12_prior_40,2025-12,299,197,0.7020656086356892,0.2510181001711958,0.6274327122153209,0.5989847715736041,0.5364302855136819,0.5329949238578681,0.09795269537803931,0.9544400080695075
shrunk_ewma_half_life_12_prior_40,2026-01,496,233,0.6529313907077507,0.22962941080435967,0.6597460791635549,0.6137339055793991,0.5459660013228527,0.5579399141630901,0.1908045962321725,0.9290000225464107
shrunk_ewma_half_life_12_prior_40,2026-02,729,166,0.6026968446414704,0.2058484559449904,0.7788461538461539,0.7048192771084337,0.5544289099679626,0.46987951807228917,0.16948679153132937,0.9046448029838744
shrunk_ewma_half_life_12_prior_40,2026-03,895,239,0.5111241836904088,0.16799160966932647,0.8232456140350877,0.7615062761506276,0.5476136526763463,0.602510460251046,0.05786200912919861,0.9402267375211958
pca_1_component,2025-12,299,197,0.6909854889101288,0.24697300056837823,0.6282608695652174,0.5939086294416244,0.5382493517810825,0.5329949238578681,0.11007339894018361,0.9440074698148024
pca_1_component,2026-01,496,233,0.6528753164404429,0.22970749255575712,0.6579536967886482,0.6180257510729614,0.5458313188955166,0.5579399141630901,0.19755243603681058,0.925442887772439
pca_1_component,2026-02,729,166,0.6022399028299938,0.20572387751798757,0.7798659673659674,0.7108433734939759,0.5538357244043489,0.46987951807228917,0.15859475764740855,0.9085958245057246
pca_1_component,2026-03,895,239,0.5091440275624389,0.16737884558421684,0.8240497076023392,0.7573221757322176,0.5473700967120008,0.602510460251046,0.05346070099078455,0.9483980110816762
