model,split,n,selected_C,log_loss,brier_score,roc_auc,accuracy_0_5,mean_probability,actual_home_win_rate
constant_home_rate,March temporal check,239,,0.6805803943893557,0.24372705003095535,0.5,0.602510460251046,0.5374301675977653,0.602510460251046
net_wins_only,March temporal check,239,0.02,0.5209329471264292,0.17127373310629654,0.8236842105263157,0.7405857740585774,0.5432419775312014,0.602510460251046
cumulative_margin_only,March temporal check,239,0.015,0.5227798518657912,0.17285212704610547,0.8161184210526315,0.7573221757322176,0.5461684846282614,0.602510460251046
selected_three_feature_logistic,March temporal check,239,0.0075,0.5096452887112716,0.16761849059271816,0.8235380116959065,0.7573221757322176,0.5474258207319714,0.602510460251046
