model,month,training_games,evaluation_games,log_loss,brier_score,roc_auc,mean_probability,actual_home_win_rate
uniform_40_component_logistic_ensemble,2025-12,299,197,0.7100079429590717,0.2537304900647615,0.6265010351966873,0.5348674726244157,0.5329949238578681
validation_best_single_component,2025-12,299,197,0.6916753993492059,0.24736514281670352,0.6274327122153209,0.5381973108168283,0.5329949238578681
uniform_40_component_logistic_ensemble,2026-01,496,233,0.6536432015999158,0.22986608311922954,0.6602688573562359,0.5450870655481546,0.5579399141630901
validation_best_single_component,2026-01,496,233,0.652248079795149,0.2294128177409705,0.6596713965646004,0.5458697719363327,0.5579399141630901
uniform_40_component_logistic_ensemble,2026-02,729,166,0.6006388025275385,0.20484209054625802,0.7776806526806527,0.5529414866327189,0.46987951807228917
validation_best_single_component,2026-02,729,166,0.6026511901452191,0.20587311608667744,0.7787004662004662,0.5537943388167806,0.46987951807228917
uniform_40_component_logistic_ensemble,2026-03,895,239,0.508637655251053,0.1674158453047922,0.823391812865497,0.5478081049595851,0.602510460251046
validation_best_single_component,2026-03,895,239,0.5096452887112716,0.16761849059271816,0.8235380116959065,0.5474258207319714,0.602510460251046
