game_id,game_date,away,home,frozen_march_31_probability,rolling_as_of_game_probability,absolute_probability_change
0022501149,2026-04-07,CHA,BOS,0.6176849275,0.6331133873,0.0154284598
0022501150,2026-04-07,MIL,BKN,0.3830916698,0.3774166881,0.0056749817
0022501151,2026-04-07,MIA,TOR,0.6075201185,0.6060357340,0.0014843845
0022501152,2026-04-07,MIN,IND,0.1387811758,0.1589348234,0.0201536476
0022501153,2026-04-07,UTA,NOP,0.6890375110,0.7293739470,0.0403364360
0022501154,2026-04-07,SAC,GSW,0.8465477261,0.8330830222,0.0134647038
0022501155,2026-04-07,OKC,LAL,0.3119512989,0.2147329210,0.0972183779
0022501156,2026-04-07,DAL,LAC,0.8481840299,0.8467651981,0.0014188318
0022501157,2026-04-07,HOU,PHX,0.4754897416,0.4233152292,0.0521745124
0022501158,2026-04-08,ATL,CLE,0.5927658764,0.5830198161,0.0097460603
0022501159,2026-04-08,MIN,ORL,0.3997109141,0.4379432440,0.0382323300
0022501160,2026-04-08,MIL,DET,0.9286519068,0.9304023193,0.0017504125
0022501161,2026-04-08,POR,SAS,0.8462366524,0.8542346760,0.0079980235
0022501162,2026-04-08,MEM,DEN,0.8859744820,0.9117840641,0.0258095821
0022501163,2026-04-08,OKC,LAC,0.2283853794,0.1775644813,0.0508208980
0022501164,2026-04-08,DAL,PHX,0.8586334782,0.8441299789,0.0145034993
0022501165,2026-04-09,MIA,TOR,0.6075201185,0.6565264872,0.0490063687
0022501166,2026-04-09,CHI,WAS,0.3041816962,0.2777079796,0.0264737166
0022501167,2026-04-09,IND,BKN,0.4883974968,0.5167335328,0.0283360360
0022501168,2026-04-09,BOS,NYK,0.5105743906,0.4958731636,0.0147012270
0022501169,2026-04-09,PHI,HOU,0.7150299294,0.7572415185,0.0422115891
0022501170,2026-04-09,LAL,GSW,0.3351474467,0.4166917803,0.0815443336
0022501171,2026-04-10,DET,CHA,0.4197271401,0.4168920664,0.0028350737
0022501172,2026-04-10,MIA,WAS,0.1340291970,0.1283835344,0.0056456625
0022501173,2026-04-10,CLE,ATL,0.5175915542,0.5062665209,0.0113250333
0022501174,2026-04-10,NOP,BOS,0.8890830894,0.9060312048,0.0169481155
0022501175,2026-04-10,PHI,IND,0.2280162793,0.2499524223,0.0219361430
0022501176,2026-04-10,TOR,NYK,0.6643388370,0.6804552235,0.0161163866
0022501177,2026-04-10,ORL,CHI,0.3528857291,0.3209020665,0.0319836626
0022501178,2026-04-10,MIN,HOU,0.5735892694,0.6667192797,0.0931300104
0022501179,2026-04-10,BKN,MIL,0.7154641226,0.7053430500,0.0101210726
0022501180,2026-04-10,DAL,SAS,0.9545748346,0.9585027117,0.0039278771
0022501181,2026-04-10,MEM,UTA,0.4701993155,0.4543440650,0.0158552505
0022501182,2026-04-10,OKC,DEN,0.3342798712,0.2706718578,0.0636080134
0022501183,2026-04-10,LAC,POR,0.5264108316,0.5134837952,0.0129270364
0022501184,2026-04-10,GSW,SAC,0.2199787001,0.2400092434,0.0200305433
0022501185,2026-04-10,PHX,LAL,0.6393837259,0.5871451898,0.0522385361
0022501186,2026-04-12,ORL,BOS,0.7872700529,0.7958728633,0.0086028104
0022501187,2026-04-12,WAS,CLE,0.9390657523,0.9551297383,0.0160639861
0022501188,2026-04-12,DET,IND,0.0731699543,0.0647817074,0.0083882469
0022501189,2026-04-12,ATL,MIA,0.4813759010,0.4182645929,0.0631113082
0022501190,2026-04-12,CHA,NYK,0.5740917846,0.6499855287,0.0758937442
0022501191,2026-04-12,MIL,PHI,0.7753496824,0.7788266480,0.0034769655
0022501192,2026-04-12,BKN,TOR,0.9132825040,0.9259182198,0.0126357157
0022501193,2026-04-12,CHI,DAL,0.4597724658,0.4644797033,0.0047072375
0022501194,2026-04-12,MEM,HOU,0.8726225430,0.9262063475,0.0535838045
0022501195,2026-04-12,NOP,MIN,0.8368106125,0.8339607650,0.0028498475
0022501196,2026-04-12,PHX,OKC,0.8290772378,0.8902929933,0.0612157555
0022501197,2026-04-12,DEN,SAS,0.7434483413,0.7296980811,0.0137502602
0022501198,2026-04-12,UTA,LAL,0.9072076835,0.9007537555,0.0064539281
0022501199,2026-04-12,GSW,LAC,0.6683706935,0.6711525402,0.0027818467
0022501200,2026-04-12,SAC,POR,0.8865840962,0.8805917223,0.0059923739
