family,features,C,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,validation_minimum_probability,validation_maximum_probability,half_life,shrinkage_prior,srs_alpha,srs_half_life_days,pca_components
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.0075,0.6277426940060157,0.2175654012745305,0.7109343536045106,0.6541353383458647,0.5489672244294567,0.5213032581453634,0.11255379479479444,0.9411036913554967,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.01,0.6283313166627421,0.21743633587471567,0.7110098670962546,0.6541353383458647,0.5485023216650757,0.5213032581453634,0.09524734153331442,0.9523140342916326,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.005,0.6285649451416557,0.2183589807188553,0.7108084977849375,0.656641604010025,0.5496982974107217,0.5213032581453634,0.14568582053180446,0.9186144321681444,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.015,0.6301560049744718,0.21760821740113165,0.7110098670962545,0.6591478696741855,0.5478860168444993,0.5213032581453634,0.07791263700766947,0.9632013900325657,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.02,0.6317862310918378,0.21785577168314293,0.7108840112766814,0.6616541353383458,0.5475104111149575,0.5213032581453634,0.06957400645166122,0.9683747243735632,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.003,0.6331844308252087,0.22077268107577674,0.7108588401127668,0.6691729323308271,0.5504789445464408,0.5213032581453634,0.20336993849574442,0.8763700044134056,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.03,0.6341445769200715,0.2182456574843582,0.7111357229158277,0.6641604010025063,0.5470359667898298,0.5213032581453634,0.0618066499008988,0.9732917175039562,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_120,0.05,0.6368153236467512,0.2186839695607984,0.7119663713250101,0.6616541353383458,0.5463979511578427,0.5213032581453634,0.05676852150677423,0.9768843904753889,,,1000.0,120.0,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.0075,0.6277255916712688,0.21756726792430087,0.710909182440596,0.6541353383458647,0.5487299598774451,0.5213032581453634,0.11242605922939708,0.9406404497676613,,,1000.0,,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.01,0.6282903709477285,0.21743295228322532,0.7109343536045107,0.6541353383458647,0.5482386048823364,0.5213032581453634,0.09511657002383944,0.9518634070482836,,,1000.0,,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.005,0.6285719082224582,0.21836613978635683,0.7108084977849376,0.656641604010025,0.5494994981656658,0.5213032581453634,0.14555879660526336,0.9181489263548547,,,1000.0,,
champion_plus_srs_alpha_1000_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_1000_half_life_none,0.015,0.6300745983076079,0.21759618908766382,0.7108588401127668,0.6591478696741855,0.5475868523489404,0.5213032581453634,0.07778267411035392,0.9627701873517948,,,1000.0,,
