split,challenger,observed_log_loss_difference_challenger_minus_champion,bootstrap_2_5_percent,bootstrap_median,bootstrap_97_5_percent,probability_challenger_is_worse,replicates
January-February validation,validation_best_single_component,0.00026907051585445263,-0.0025679881934811658,0.0002823690990676475,0.0024135453828480133,0.574,500
January-February validation,core_plus_box_scores,-0.0022018804262934344,-0.010747510868940829,-0.0026577630912927863,0.005418377203763469,0.276,500
January-February validation,core_plus_schedule,0.0011537815490807457,-0.004432509943995242,0.0011541688723264998,0.0067596758404913325,0.656,500
January-February validation,core_plus_box_scores_and_schedule,-0.0010222028233254354,-0.010334332682573935,-0.0011073826792457608,0.0072996295189989265,0.41,500
January-February validation,bradley_terry_team_effects,0.02368866313091844,0.005537657442430702,0.023413118550931256,0.04074695486377344,0.996,500
January-February validation,margin_sensitive_elo,0.005460513741642359,-0.004162313123253725,0.0051517022481759045,0.014470116806623981,0.832,500
March governance check,validation_best_single_component,0.0010076334602185932,-0.0008181248338013161,0.0010050290151743524,0.0025066864780690316,0.872,500
March governance check,core_plus_box_scores,0.009705203532117568,0.000344121605850991,0.009568859340764346,0.018925786914057156,0.978,500
March governance check,core_plus_schedule,0.004677407049757054,0.00019903807259702454,0.004658384091071888,0.009749605012371983,0.976,500
March governance check,core_plus_box_scores_and_schedule,0.01264161880076009,0.0027216823588853355,0.012920648387488104,0.02220276996629954,0.996,500
March governance check,bradley_terry_team_effects,0.03431116365900899,0.01325485047662765,0.03358006134262678,0.050876482478897096,0.998,500
March governance check,margin_sensitive_elo,0.008417046322405808,-0.004071079901004925,0.008462044022439552,0.020116761571430622,0.9,500
