family,features,validation_log_loss,validation_brier_score,validation_roc_auc,march_log_loss,march_brier_score,march_roc_auc
core_plus_box_scores,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + cumulative_turnover_adv_diff + recent_turnover_adv_evidence_diff + cumulative_rebound_adv_diff + recent_rebound_adv_evidence_diff + cumulative_foul_adv_diff + recent_foul_adv_evidence_diff,0.6250576053722608,0.21653941501380045,0.7137031816351188,0.5183428587831705,0.17145787825268163,0.8133771929824563
core_plus_box_scores_and_schedule,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + cumulative_turnover_adv_diff + recent_turnover_adv_evidence_diff + cumulative_rebound_adv_diff + recent_rebound_adv_evidence_diff + cumulative_foul_adv_diff + recent_foul_adv_evidence_diff + rest_days_diff + home_back_to_back + away_back_to_back + games_played_diff,0.6262372829752288,0.2170944183875497,0.7123439387837295,0.5212792740518131,0.17269710077311595,0.8113304093567252
uniform_40_component_logistic_ensemble,three core signals across 40 fixed components,0.6272594857985543,0.21714956026409996,0.7113119210632299,0.508637655251053,0.1674158453047922,0.823391812865497
validation_best_single_component,three core signals,0.6275285563144087,0.21748082407340277,0.7109846959323398,0.5096452887112716,0.16761849059271816,0.8235380116959065
core_plus_schedule,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + rest_days_diff + home_back_to_back + away_back_to_back + games_played_diff,0.628413267347635,0.2179135162942897,0.710179218687072,0.51331506230081,0.16919713391839084,0.8201754385964913
margin_sensitive_elo,sequential outcomes and score margin,0.6327199995401966,0.22066678447910154,0.6965867901731776,0.5170547015734588,0.16984648835684643,0.8240497076023392
bradley_terry_team_effects,regularized team pair effects,0.6509481489294727,0.22834363882591013,0.6772301651228352,0.542948818910062,0.17946220460905393,0.8225146198830409
