features,number_of_features,selected_C,validation_log_loss,validation_brier,march_log_loss,march_brier,march_auc,march_accuracy_0_5
cumulative_margin_diff + recent_margin_evidence_diff,2,0.01,0.6265561581898967,0.2171089355291156,0.5136605860413946,0.16951504863986266,0.8163011695906434,0.7405857740585774
cumulative_margin_diff,1,0.015,0.6269934934618988,0.217362448345045,0.5227798518657912,0.17285212704610547,0.8161184210526315,0.7573221757322176
net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff,3,0.0075,0.6275285563144087,0.21748082407340277,0.5096452887112716,0.16761849059271816,0.8235380116959065,0.7573221757322176
net_wins_diff + cumulative_margin_diff,2,0.01,0.6293048874912929,0.21836278335793222,0.516611039877999,0.17012726029401287,0.8228070175438597,0.7573221757322176
net_wins_diff + recent_margin_evidence_diff,2,0.015,0.6299088512228177,0.21862808369109737,0.5058347831437197,0.16606256539370903,0.8246345029239767,0.7615062761506276
recent_margin_evidence_diff,1,0.03,0.6322061834722441,0.22029420886594353,0.5196070089065433,0.17208628092046666,0.808187134502924,0.7573221757322176
net_wins_diff,1,0.02,0.6374359504510957,0.22248825319654175,0.5209329471264292,0.17127373310629654,0.8236842105263157,0.7405857740585774
