bin,n,mean_probability,actual_home_win_rate,minimum_probability,maximum_probability
"(0.0492, 0.308]",48,0.19031223521888094,0.08333333333333333,0.05015283794905252,0.30334946627992065
"(0.308, 0.493]",48,0.4033393202541438,0.5208333333333334,0.3109745012212536,0.49202247769498897
"(0.493, 0.659]",47,0.5751137752550541,0.7659574468085106,0.49900991567179737,0.65643700272425
"(0.659, 0.767]",48,0.7173529015716547,0.75,0.6602310056033794,0.765754437543005
"(0.767, 0.948]",48,0.8534911606293467,0.8958333333333334,0.7699728170436855,0.9481492956228881
